path,fault_type,split
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0000.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0001.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0002.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0003.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0004.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0005.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0006.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0007.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0008.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0009.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0010.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0011.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0012.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0013.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0014.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0015.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0016.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0017.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0018.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0019.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0020.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0021.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0022.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0023.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0024.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0025.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0026.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0027.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0028.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0029.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0030.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0031.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0032.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0033.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0034.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0035.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0036.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0037.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0038.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0039.csv,sensor_dropout,test
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0040.csv,sensor_dropout,test
